prompt,class,environment,style,amount
A single modern style chair in the living room.,chair,living room,modern,Single
Two modern style chairs in the living room.,chair,living room,modern,Two
Three modern chairs in the living room.,chair,living room,modern,Three
Two modern style chairs in a living room.,chair,living room,modern,Multiple
A single minimalist-style chair in the living room.,chair,living room,minimalist,Single
Two minimalist chairs in the living room.,chair,living room,minimalist,Two
Three minimalist chairs in the living room.,chair,living room,minimalist,Three
Minimalist living room with two chairs.,chair,living room,minimalist,Multiple
A single chair with a rustic style in the living room.,chair,living room,rustic,Single
Two rustic chairs in the living room.,chair,living room,rustic,Two
Three rustic chairs in the living room.,chair,living room,rustic,Three
"

A rustic living room with two aged wooden chairs and a third, larger one with intricate carvings.",chair,living room,rustic,Multiple
